,poistion_rank,first_name,last_name,injuryr_status
175,PG2,gary,payton-ii,active
176,PG4,jordan,poole,active
177,PG6,jeff,dowtin,active
178,SG1,jordan,poole,active
179,SG3,gary,payton-ii,active
180,SG5,moses,moody,active
181,SG7,jeff,dowtin,active
182,SG9,quinndary,weatherspoon,active
183,SF2,andre,iguodala,active
184,SF4,damion,lee,active
185,SF6,jonathan,kuminga,active
186,SF8,juan,toscano-anderson,active
187,PF1,draymond,green,active
188,PF3,juan,toscano-anderson,active
189,PF5,nemanja,bjelica,active
190,PF7,kevon,looney,active
191,C2,james,wiseman,active
192,C4,nemanja,bjelica,active
193,PG2,d.j.,augustin,active
194,PG4,armoni,brooks,active
195,PG6,john,wall,active
196,SG1,jalen,green,active
197,SG3,eric,gordon,injured
198,SG5,garrison,mathews,active
199,SG7,trevelin,queen,active
200,SG9,jae'sean,tate,active
201,SF1,eric,gordon,injured
202,SF3,josh,christopher,active
203,SF5,jae'sean,tate,active
204,SF7,kenyon,martin-jr.,active
205,PF2,kenyon,martin-jr.,active
206,PF4,usman,garuba,active
207,PF6,christian,wood,active
208,C2,alperen,sengun,injured
209,C4,kenyon,martin-jr.,active
210,PG2,caris,levert,active
211,PG4,keifer,sykes,active
212,PG6,t.j.,mcconnell,active
213,PG8,ahmad,caver,active
214,SG2,chris,duarte,active
215,SG4,justin,holiday,active
216,SG6,duane,washington-jr.,active
217,SG8,nate,hinton,active
218,SF2,jeremy,lamb,active
219,SF4,chris,duarte,active
220,SF6,caris,levert,active
221,SF8,oshae,brissett,active
222,SF10,terry,taylor,active
223,SF12,t.j.,warren,active
224,PF2,oshae,brissett,active
225,PF4,torrey,craig,active
226,PF6,justin,anderson,active
227,PF8,t.j.,warren,active
228,C2,domantas,sabonis,active
229,C4,oshae,brissett,active
230,PG2,eric,bledsoe,active
231,PG4,justise,winslow,active
232,PG6,amir,coffey,active
233,SG1,paul,george,active
234,SG3,brandon,boston-jr.,active
235,SG5,eric,bledsoe,active
236,SG7,reggie,jackson,active
237,SG9,keon,johnson,active
238,SG11,xavier,moon,active
239,SF2,terance,mann,active
240,SF4,paul,george,active
241,SF6,amir,coffey,active
242,SF8,justise,winslow,active
243,SF10,keon,johnson,active
244,SF12,kawhi,leonard,active
245,PF2,serge,ibaka,active
246,PF4,paul,george,active
247,PF6,wenyen,gabriel,active
248,PF8,kawhi,leonard,active
249,C1,ivica,zubac,active
250,C3,serge,ibaka,active
251,C5,justise,winslow,active
252,C7,moses,wright,active
253,PG2,darren,collison,active
254,PG4,lebron,james,active
255,PG6,avery,bradley,active
256,PG8,kendrick,nunn,active
257,SG2,wayne,ellington,active
258,SG4,avery,bradley,active
259,SG6,kent,bazemore,active
260,SG8,kendrick,nunn,active
261,SF1,avery,bradley,active
262,SF3,kent,bazemore,active
263,SF5,austin,reaves,active
264,SF7,carmelo,anthony,active
265,SF9,trevor,ariza,active
266,SF11,mason,jones,active
267,PF1,lebron,james,active
268,PF3,trevor,ariza,active
269,PF5,jemerrio,jones,active
270,C1,dwight,howard,active
271,C3,jay,huff,active
272,PG2,tyus,jones,active
273,PG4,john,konchar,active
274,PG6,tyrell,terry,active
275,SG2,de'anthony,melton,active
276,SG4,ziaire,williams,active
277,SG6,jarrett,culver,active
278,SG8,tyrell,terry,active
279,SG10,daquan,jeffries,active
280,SF2,john,konchar,active
281,SF4,kyle,anderson,active
282,SF6,jarrett,culver,active
283,SF8,xavier,sneed,active
284,SF10,yves,pons,active
285,PF2,kyle,anderson,active
286,PF4,brandon,clarke,active
287,PF6,xavier,tillman,active
288,PF8,desmond,bane,active
289,PF10,yves,pons,active
290,C2,brandon,clarke,active
291,C4,jaren,jackson-jr.,active
292,C6,santi,aldama,active
293,PG2,tyler,herro,active
294,PG4,kyle,guy,active
295,PG6,mario,chalmers,active
296,SG2,tyler,herro,active
297,SG4,caleb,martin,active
298,SG6,marcus,garrett,active
299,SG8,haywood,highsmith,active
300,SG10,victor,oladipo,active
301,SF2,max,strus,active
302,SF4,duncan,robinson,active
303,SF6,kz,okpala,injured
304,SF8,markieff,morris,active
305,SF10,zylan,cheatham,active
306,SF12,nik,stauskas,active
307,PF1,p.j.,tucker,active
308,PF3,kz,okpala,injured
309,PF5,duncan,robinson,active
310,C1,dewayne,dedmon,active
311,C3,markieff,morris,active
312,C5,udonis,haslem,active
313,C7,bam,adebayo,active
314,C9,chris,silva,active
315,PG2,george,hill,active
316,PG4,grayson,allen,active
317,SG1,khris,middleton,active
318,SG3,rodney,hood,active
319,SG5,pat,connaughton,active
320,SG7,wesley,matthews,active
321,SG9,javonte,smart,active
322,SF2,grayson,allen,active
323,SF4,wesley,matthews,active
324,SF6,donte,divincenzo,injured
325,SF8,giannis,antetokounmpo,active
326,SF10,semi,ojeleye,active
327,PF2,jordan,nwora,active
328,PF4,thanasis,antetokounmpo,injured
329,PF6,bobby,portis,active
330,C1,bobby,portis,active
331,C3,giannis,antetokounmpo,active
332,C5,brook,lopez,active
333,PG2,jaylen,nowell,active
334,PG4,d'angelo,russell,active
335,PG6,anthony,edwards,active
336,SG1,d'angelo,russell,active
337,SG3,leandro,bolmaro,active
338,SG5,josh,okogie,active
339,SG7,patrick,beverley,active
340,SF2,jaden,mcdaniels,active
341,SF4,josh,okogie,active
342,SF6,malik,beasley,active
343,PF1,jarred,vanderbilt,active
344,PF3,taurean,prince,injured
345,PF5,jake,layman,active
346,PF7,anthony,edwards,active
347,C2,naz,reid,active
348,C4,jarred,vanderbilt,active
349,PG2,nickeil,alexander-walker,active
350,PG4,garrett,temple,active
351,PG6,jose,alvarado,active
352,SG1,brandon,ingram,injured
353,SG3,nickeil,alexander-walker,active
354,SG5,naji,marshall,active
355,SG7,justin,james,active
356,SG9,kira,lewis-jr.,active
357,SF2,tomas,satoransky,active
358,SF4,naji,marshall,active
359,SF6,garrett,temple,active
360,SF8,justin,james,active
361,SF10,feron,hunt,active
362,PF2,naji,marshall,active
363,PF4,josh,hart,active
364,PF6,trey,murphy-iii,active
365,PF8,zion,williamson,active
366,C2,willy,hernangomez,active
367,C4,jaxson,hayes,active
368,C6,zion,williamson,active
369,PG2,immanuel,quickley,active
370,PG4,alec,burks,active
371,PG6,matt,mooney,active
372,SG1,evan,fournier,active
373,SG3,alec,burks,active
374,SG5,rj,barrett,active
375,SG7,wayne,selden,active
376,SG9,matt,mooney,active
377,SF1,rj,barrett,active
378,SF3,kevin,knox-ii,active
379,SF5,danuel,house-jr.,injured
380,SF7,damyean,dotson,active
381,PF1,julius,randle,active
382,PF3,danuel,house-jr.,injured
383,PF5,taj,gibson,active
384,C1,nerlens,noel,active
385,C3,taj,gibson,active
386,C5,jericho,sims,active
387,PG2,theo,maledon,active
388,PG4,tre,mann,active
389,PG6,kenrich,williams,active
390,SG1,aaron,wiggins,active
391,SG3,ty,jerome,active
392,SG5,josh,giddey,injured
393,SG7,theo,maledon,active
394,SG9,scotty,hopson,active
395,SF2,kenrich,williams,active
396,SF4,luguentz,dort,active
397,SF6,gabriel,deck,active
398,SF8,darius,bazley,active
399,SF10,rob,edwards,active
400,PF1,luguentz,dort,active
401,PF3,aleksej,pokusevski,active
402,PF5,gabriel,deck,active
403,C1,jeremiah,robinson-earl,active
404,C3,mike,muscala,active
405,C5,darius,bazley,active
406,C7,aleksej,pokusevski,active
407,PG2,hassani,gravett,active
408,PG4,tim,frazier,active
409,PG7,jalen,suggs,active
410,PG9,michael,carter-williams,active
411,SG2,r.j.,hampton,active
412,SG4,terrence,ross,injured
413,SG6,e'twaun,moore,active
414,SG8,michael,carter-williams,active
415,SF2,terrence,ross,injured
416,SF4,gary,harris,active
417,SF6,ignas,brazdeikis,active
418,SF8,e'twaun,moore,active
419,SF10,jonathan,isaac,active
420,PF2,chuma,okeke,active
421,PF4,franz,wagner,active
422,PF6,ignas,brazdeikis,active
423,C1,mo,bamba,injured
424,C3,robin,lopez,active
425,C5,moritz,wagner,active
426,C7,jonathan,isaac,active
427,PG2,shake,milton,active
428,PG4,ben,simmons,active
429,SG1,seth,curry,active
430,SG3,isaiah,joe,active
431,SG5,tyrese,maxey,active
432,SG7,matisse,thybulle,active
433,SG9,aaron,henry,active
434,SF1,danny,green,active
435,SF3,furkan,korkmaz,active
436,SF5,tobias,harris,active
437,SF7,aaron,henry,active
438,PF2,georges,niang,active
439,PF4,paul,reed,active
440,PF6,ben,simmons,active
441,C2,andre,drummond,active
442,C4,paul,reed,active
443,PG2,cameron,payne,active
444,PG4,devin,booker,active
445,SG1,devin,booker,active
446,SG3,mikal,bridges,active
447,SG5,mj,walker,active
448,SF2,cameron,johnson,active
449,SF4,landry,shamet,active
450,SF6,chandler,hutchison,active
451,SF8,paris,bass,active
452,PF1,jae,crowder,active
453,PF3,abdel,nader,active
454,PF5,chandler,hutchison,active
455,PF7,frank,kaminsky,active
456,PF9,paris,bass,active
457,C1,deandre,ayton,active
458,C3,jalen,smith,active
459,C5,frank,kaminsky,active
460,C7,bismack,biyombo,active
461,PG2,anfernee,simons,active
462,PG4,cj,mccollum,active
463,PG6,jarron,cumberland,active
464,SG2,tony,snell,active
465,SG4,anfernee,simons,active
466,SG6,norman,powell,active
467,SF1,norman,powell,active
468,SF3,tony,snell,active
469,SF5,ben,mclemore,active
470,SF7,greg,brown-iii,active
