,poistion_rank,first_name,last_name,injuryr_status
669,SF4,dylan,windler,active
670,SF6,lamar,stevens,active
671,PF2,dean,wade,active
672,PF4,lauri,markkanen,active
673,PF6,lamar,stevens,active
674,PF8,luke,kornet,active
675,C1,jarrett,allen,active
676,C3,evan,mobley,active
677,C5,tacko,fall,active
678,C7,lauri,markkanen,active
679,PG1,luka,doncic,injured
680,PG3,frank,ntilikina,active
681,PG5,brandon,knight,active
682,PG7,isaiah,thomas,active
683,SG2,tim,hardaway-jr.,active
684,SG4,sterling,brown,active
685,SG6,trey,burke,active
686,SG8,brandon,knight,active
687,SG10,jaquori,mclaughlin,active
688,SG12,charlie,brown-jr.,active
689,SF2,tim,hardaway-jr.,active
690,SF4,reggie,bullock,active
691,SF6,theo,pinson,active
692,PF1,kristaps,porzingis,active
693,PF3,dorian,finney-smith,active
694,PF5,josh,green,active
695,C2,dwight,powell,active
696,C4,marquese,chriss,active
697,C6,boban,marjanovic,active
698,PG1,monte,morris,active
699,PG3,facundo,campazzo,active
700,PG5,will,barton,active
701,PG7,markus,howard,active
702,SG1,will,barton,active
703,SG3,austin,rivers,active
704,SG5,monte,morris,active
705,SG7,rayjon,tucker,active
706,SG9,p.j.,dozier,active
707,SF2,austin,rivers,active
708,SF4,davon,reed,active
709,SF6,will,barton,active
710,SF8,jamychal,green,active
711,SF10,p.j.,dozier,active
712,PF1,jeff,green,active
713,PF3,jamychal,green,active
714,PF5,bol,bol,active
715,PF7,p.j.,dozier,active
716,C1,nikola,jokic,active
717,C3,zeke,nnaji,active
718,C5,bol,bol,active
719,PG1,killian,hayes,active
720,PG3,cory,joseph,active
721,PG5,derrick,walton-jr.,active
722,PG7,justin,robinson,active
723,SG1,cade,cunningham,injured
724,SG3,josh,jackson,active
725,SG5,cory,joseph,active
726,SG7,cassius,stanley,active
727,SG9,trayvon,palmer,active
728,SF2,rodney,mcgruder,active
729,SF4,saddiq,bey,active
730,SF6,jamorko,pickett,active
731,SF8,cassius,stanley,active
732,SF10,chris,smith,active
733,SF12,trayvon,palmer,active
734,PF2,josh,jackson,active
735,PF4,jamorko,pickett,active
736,PF6,jerami,grant,active
737,PF8,cheick,diallo,active
738,C1,isaiah,stewart,active
739,C3,luka,garza,active
740,C5,cheick,diallo,active
741,PG1,stephen,curry,active
742,PG3,chris,chiozza,active
743,PG5,damion,lee,active
744,PG7,quinndary,weatherspoon,active
745,SG2,damion,lee,active
746,SG4,andrew,wiggins,active
747,SG6,andre,iguodala,active
748,SG8,klay,thompson,active
749,SF1,andrew,wiggins,active
750,SF3,otto,porter-jr.,active
751,SF5,jordan,poole,active
752,SF7,moses,moody,active
753,SF9,klay,thompson,active
754,PF2,otto,porter-jr.,active
755,PF4,jonathan,kuminga,active
756,PF6,andre,iguodala,active
757,C1,kevon,looney,active
758,C3,draymond,green,active
759,C5,juan,toscano-anderson,active
760,PG1,kevin,porter-jr.,active
761,PG3,jalen,green,active
762,PG5,jock,landale,active
763,PG7,dejon,jarreau,active
764,SG2,armoni,brooks,active
765,SG4,josh,christopher,active
766,SG6,david,nwaba,active
767,SG8,kevin,porter-jr.,active
768,SG10,dejon,jarreau,active
769,SF2,garrison,mathews,active
770,SF4,david,nwaba,active
771,SF6,jalen,green,active
772,PF1,jae'sean,tate,active
773,PF3,daniel,theis,active
774,PF5,alperen,sengun,injured
775,C1,christian,wood,active
776,C3,daniel,theis,active
777,C5,usman,garuba,active
778,PG1,malcolm,brogdon,active
779,PG3,duane,washington-jr.,active
780,PG5,chris,duarte,active
781,PG7,lance,stephenson,active
782,SG1,caris,levert,active
783,SG3,jeremy,lamb,active
784,SG5,malcolm,brogdon,active
785,SG7,lance,stephenson,active
786,SF1,justin,holiday,active
787,SF3,torrey,craig,active
788,SF5,kelan,martin,active
789,SF7,lance,stephenson,active
790,SF9,nate,hinton,active
791,SF11,justin,anderson,active
792,PF1,domantas,sabonis,active
793,PF3,kelan,martin,active
794,PF5,isaiah,jackson,active
795,PF7,terry,taylor,active
796,C1,myles,turner,active
797,C3,goga,bitadze,active
798,PG1,reggie,jackson,active
799,PG3,terance,mann,active
800,PG5,xavier,moon,active
801,PG7,jason,preston,active
802,SG2,luke,kennard,injured
803,SG4,terance,mann,active
804,SG6,amir,coffey,active
805,SG8,jay,scrubb,active
806,SG10,jason,preston,active
807,SF1,marcus,morris-sr.,injured
808,SF3,brandon,boston-jr.,active
809,SF5,nicolas,batum,injured
810,SF7,luke,kennard,injured
811,SF9,jay,scrubb,active
812,SF11,james,ennis-iii,active
813,PF1,nicolas,batum,injured
814,PF3,marcus,morris-sr.,injured
815,PF5,justise,winslow,active
816,PF7,isaiah,hartenstein,active
817,PF9,moses,wright,active
818,C2,isaiah,hartenstein,active
819,C4,nicolas,batum,injured
820,C6,wenyen,gabriel,active
821,PG1,russell,westbrook,active
822,PG3,malik,monk,active
823,PG5,austin,reaves,active
824,PG7,wayne,ellington,active
825,SG1,malik,monk,active
826,SG3,austin,reaves,active
827,SG5,talen,horton-tucker,active
828,SG7,mason,jones,active
829,SG9,denzel,valentine,active
830,SF2,talen,horton-tucker,active
831,SF4,wayne,ellington,active
832,SF6,stanley,johnson,active
833,SF8,lebron,james,active
834,SF10,jemerrio,jones,active
835,SF12,denzel,valentine,active
836,PF2,carmelo,anthony,active
837,PF4,stanley,johnson,active
838,PF6,anthony,davis,active
839,C2,deandre,jordan,active
840,C4,anthony,davis,active
841,PG1,ja,morant,active
842,PG3,de'anthony,melton,active
843,PG5,desmond,bane,active
844,SG1,desmond,bane,active
845,SG3,john,konchar,active
846,SG5,dillon,brooks,active
847,SG7,shaq,buchanan,active
848,SG9,dakota,mathias,active
849,SF1,dillon,brooks,active
850,SF3,ziaire,williams,active
851,SF5,desmond,bane,active
852,SF7,de'anthony,melton,active
853,SF9,daquan,jeffries,active
854,PF1,jaren,jackson-jr.,active
855,PF3,killian,tillie,active
856,PF5,santi,aldama,active
857,PF7,jarrett,culver,active
858,PF9,xavier,sneed,active
859,C1,steven,adams,active
860,C3,xavier,tillman,active
861,C5,killian,tillie,active
862,PG1,kyle,lowry,active
863,PG3,gabe,vincent,active
864,PG5,victor,oladipo,active
865,SG1,duncan,robinson,active
866,SG3,max,strus,active
867,SG5,gabe,vincent,active
868,SG7,kyle,guy,active
869,SG9,nik,stauskas,active
870,SF1,jimmy,butler,active
871,SF3,caleb,martin,active
872,SF5,tyler,herro,active
873,SF7,p.j.,tucker,active
874,SF9,marcus,garrett,active
875,SF11,haywood,highsmith,active
876,SF13,victor,oladipo,active
877,PF2,markieff,morris,active
878,PF4,zylan,cheatham,active
879,PF6,aric,holman,active
880,C2,omer,yurtseven,active
881,C4,p.j.,tucker,active
882,C6,zylan,cheatham,active
883,C8,aric,holman,active
884,PG1,jrue,holiday,active
885,PG3,donte,divincenzo,injured
886,PG5,javonte,smart,active
887,SG2,donte,divincenzo,injured
888,SG4,grayson,allen,active
889,SG6,george,hill,active
890,SG8,jrue,holiday,active
891,SF1,pat,connaughton,active
892,SF3,khris,middleton,active
893,SF5,jordan,nwora,active
894,SF7,rodney,hood,active
895,SF9,thanasis,antetokounmpo,injured
896,PF1,giannis,antetokounmpo,active
897,PF3,semi,ojeleye,active
898,PF5,sandro,mamukelashvili,active
899,PF7,javin,delaurier,active
900,C2,demarcus,cousins,active
901,C4,sandro,mamukelashvili,active
902,PG1,patrick,beverley,active
